side,A,B,C,E
1.5,3.08E+00,-8.65E-07,1.99E-01,-3.04E+00
3,0.40411199,-0.30505671,0.0517257,0.06154087
6,7.05,-0.05,-0.45,-6.67
10,0.30539396,-0.21352244,0.00087261,0.36462648
15,0.55602671,-0.426639,-0.00225335,0.48529271
